,date,open,high,low,close,volume,hlc3,rsi,macd,deltamacd,signal,mom,cci,obv,stk,cmf,mfi,uo,ph,pl,stk_rbull,stk_hbull,stk_rbear,stk_hbear,mom_rbull,mom_hbull,mom_rbear,mom_hbear,mfi_rbull,mfi_hbull,mfi_rbear,mfi_hbear,rsi_rbull,rsi_hbull,rsi_rbear,rsi_hbear,cci_rbull,cci_hbull,cci_rbear,cci_hbear,cmf_rbull,cmf_hbull,cmf_rbear,cmf_hbear,macd_rbull,macd_hbull,macd_rbear,macd_hbear,uo_rbull,uo_hbull,uo_rbear,uo_hbear,obv_rbull,obv_hbull,obv_rbear,obv_hbear,date_1h,open_1h,high_1h,low_1h,close_1h,volume_1h,hlc3_1h,rsi_1h,macd_1h,deltamacd_1h,signal_1h,mom_1h,cci_1h,obv_1h,stk_1h,cmf_1h,mfi_1h,uo_1h,ph_1h,pl_1h,stk_rbull_1h,stk_hbull_1h,stk_rbear_1h,stk_hbear_1h,mom_rbull_1h,mom_hbull_1h,mom_rbear_1h,mom_hbear_1h,mfi_rbull_1h,mfi_hbull_1h,mfi_rbear_1h,mfi_hbear_1h,rsi_rbull_1h,rsi_hbull_1h,rsi_rbear_1h,rsi_hbear_1h,cci_rbull_1h,cci_hbull_1h,cci_rbear_1h,cci_hbear_1h,cmf_rbull_1h,cmf_hbull_1h,cmf_rbear_1h,cmf_hbear_1h,macd_rbull_1h,macd_hbull_1h,macd_rbear_1h,macd_hbear_1h,uo_rbull_1h,uo_hbull_1h,uo_rbear_1h,uo_hbear_1h,obv_rbull_1h,obv_hbull_1h,obv_rbear_1h,obv_hbear_1h
0,2021-08-16 16:30:00+00:00,3220.85,3232.0,3213.69,3224.47,7253.74332,3223.3866666666668,,,,,,,7253.74332,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 16:00:00+00:00,3223.84,3245.0,3213.69,3224.47,21800.19187,3227.72,44.3088653351101,-0.6268890189135163,-9.74888658750643,9.121997568592914,-50.51000000000022,-71.87033482618862,1314626.3702500006,54.70098683362968,0.06539517734792691,30.309770884259102,42.88467147364338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2021-08-16 17:00:00+00:00,3224.46,3224.47,3203.6,3211.43,7746.6069,3213.1666666666665,,,,,,,-492.8635800000002,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 16:00:00+00:00,3223.84,3245.0,3213.69,3224.47,21800.19187,3227.72,44.3088653351101,-0.6268890189135163,-9.74888658750643,9.121997568592914,-50.51000000000022,-71.87033482618862,1314626.3702500006,54.70098683362968,0.06539517734792691,30.309770884259102,42.88467147364338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2021-08-16 17:30:00+00:00,3211.42,3229.13,3207.24,3219.67,5878.80472,3218.6800000000003,,,,,,,5385.94114,14.350197038781188,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 17:00:00+00:00,3224.46,3229.13,3203.6,3219.67,13625.41162,3217.4666666666667,43.38658248217756,-2.988117878986941,-9.688092358063884,6.699974479076943,-56.48999999999978,-76.25475790032766,1301000.9586300007,42.8599741591544,0.07247334264419342,31.62509876512502,43.49814800330848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2021-08-16 18:00:00+00:00,3219.13,3236.7,3210.0,3227.12,7116.40932,3224.6066666666666,,,,,,,12502.35046,13.692316859726448,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 17:00:00+00:00,3224.46,3229.13,3203.6,3219.67,13625.41162,3217.4666666666667,43.38658248217756,-2.988117878986941,-9.688092358063884,6.699974479076943,-56.48999999999978,-76.25475790032766,1301000.9586300007,42.8599741591544,0.07247334264419342,31.62509876512502,43.49814800330848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2021-08-16 18:30:00+00:00,3227.12,3231.26,3215.0,3229.5,4679.24243,3225.2533333333336,,,,,,,17181.59289,24.05957304192741,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 18:00:00+00:00,3219.13,3236.7,3210.0,3229.5,11795.65175,3225.4,45.87141511892917,-4.01987134053752,-8.57587665569157,4.556005315154049,-39.809999999999945,-48.92598795409604,1312796.6103800007,38.687422938155876,0.029957652918543017,35.45320695750506,46.72895473273808,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
5,2021-08-16 19:00:00+00:00,3229.52,3230.0,3200.0,3201.0,6531.94638,3210.3333333333335,,,,,,,10649.646509999999,36.579307326574884,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 18:00:00+00:00,3219.13,3236.7,3210.0,3229.5,11795.65175,3225.4,45.87141511892917,-4.01987134053752,-8.57587665569157,4.556005315154049,-39.809999999999945,-48.92598795409604,1312796.6103800007,38.687422938155876,0.029957652918543017,35.45320695750506,46.72895473273808,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
6,2021-08-16 19:30:00+00:00,3201.0,3214.73,3162.5,3176.85,18990.89475,3184.693333333333,,,,,,,-8341.24824,50.06362730325108,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 19:00:00+00:00,3229.52,3230.0,3162.5,3176.85,25522.84113,3189.7833333333333,36.60438752925113,-8.982414692572547,-10.830736006181278,1.84832131360873,-98.42000000000007,-109.14746425453555,1287273.7692500006,43.25475819489023,-4.0537213153592224e-05,28.81896941641669,41.64083796521745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2021-08-16 20:00:00+00:00,3177.04,3177.04,3135.22,3151.8,37337.13742,3154.686666666667,,,,,,,-45678.38566,66.33413019110935,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 19:00:00+00:00,3229.52,3230.0,3162.5,3176.85,25522.84113,3189.7833333333333,36.60438752925113,-8.982414692572547,-10.830736006181278,1.84832131360873,-98.42000000000007,-109.14746425453555,1287273.7692500006,43.25475819489023,-4.0537213153592224e-05,28.81896941641669,41.64083796521745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2021-08-16 20:30:00+00:00,3151.8,3171.3,3143.08,3163.76,13575.48804,3159.3799999999997,,,,,,,-32102.89762,79.54924040429538,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 20:00:00+00:00,3177.04,3177.04,3135.22,3163.76,50912.62546,3158.6733333333336,34.72602528844016,-13.812300057356879,-12.528497096772487,-1.2838029605843921,-132.23999999999978,-160.21642185487224,1236361.1437900006,66.31249938142203,0.029127063220889735,27.234537393631836,48.814743925869,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2021-08-16 21:00:00+00:00,3163.83,3171.76,3150.0,3167.43,12220.90074,3163.0633333333335,,,,,,-89.51183190007568,-19881.99688,88.78133968699264,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2021-08-16 20:00:00+00:00,3177.04,3177.04,3135.22,3163.76,50912.62546,3158.6733333333336,34.72602528844016,-13.812300057356879,-12.528497096772487,-1.2838029605843921,-132.23999999999978,-160.21642185487224,1236361.1437900006,66.31249938142203,0.029127063220889735,27.234537393631836,48.814743925869,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
